K1040	DE-587
K1176	DE-Kn184
K7001	DE-380
O9002	DE-Bet1
O9003	DE-Bi5
O9004	DE-Bm53
O9005	DE-Bo131
O9006	DE-Bo133
O9008	DE-Bo405
O9009	DE-Det2
O9010	DE-Due48
O9012	DE-Due59
O9014	DE-221
O9016	DE-Juel1
O9017	DE-Kn125
O9021	DE-Rem4
O9023	DE-211
O9024	DE-Bo56
O9025	DE-Bo59
O9026	DE-Bo102
O9027	DE-Bo127
O9028	DE-Bo146
O9029	DE-Bo170
O9030	DE-Bo171
O9033	DE-Bo206
O9034	DE-Grv1
O9035	DE-Brl1
O9036	DE-Hen2
O9037	DE-Zlp1
O9038	DE-Hzr1
O9039	DE-Kn195
O9040	DE-Jhn1
P0002	DE-110
R1001	DE-Kob1
R1002	DE-Kob2
R1003	DE-Kob3
R1004	DE-Mch1
R1005	DE-69
R1006	DE-977
R1008	DE-992
R1009	DE-Kob9
SD001	DE-Bo410
T0001	DE-Tr1
T0002	DE-Tr16
T0004	DE-Tr18
T0005	DE-Tr19
T0007	DE-Tr20
X7001	DE-362
Y9001	DE-133
Y9003	DE-227
Y9004	DE-230
Y9005	DE-236
Y9006	DE-247
Y9009	DE-268
Y9012	DE-273
Y9014	DE-278
Y9015	DE-287
Y9020	DE-373
Y9021	DE-374
Y9023	DE-379
Y9026	DE-393
Y9028	DE-399
Y9031	DE-415
Y9033	DE-431
Y9034	DE-436
Y9035	DE-444
Y9037	DE-446
Y9040	DE-454
Y9042	DE-710
Y9043	DE-713
Y9044	DE-714
Y9045	DE-733
Y9046	DE-734
Y9047	DE-738
Y9052	DE-831
Y9053	DE-A2
Y9054	DE-Bg1
Y9055	DE-Bg2
Y9056	DE-Bi15
Y9057	DE-Bi7
Y9058	DE-Bi8
Y9061	DE-Bm2
Y9063	DE-Bo400
Y9064	DE-Cla1
Y9065	DE-Due20
Y9067	DE-Due51
Y9068	DE-Due58
Y9069	DE-Due63
Y9070	DE-Due65
Y9071	DE-Eus2
Y9072	DE-Gk1
Y9075	DE-Hef1
Y9076	DE-Hoer1
Y9077	DE-Huer1
Y9079	DE-Kn126
Y9080	DE-Kn166
Y9082	DE-Kn55
Y9083	DE-Kv1
Y9085	DE-Ml1
Y9086	DE-Mtl1
Y9087	DE-Mue27
Y9088	DE-Mue73
Y9089	DE-Net1
Y9090	DE-Ob1
Y9091	DE-Rn1
Y9092	DE-Se1
Y9093	DE-Vln1
Y9095	DE-Wit1
Y9096	DE-Wrf1
Y9097	DE-Wrl1
Y9098	DE-X1
Y9101	DE-290E
Y9102	DE-Mue78
Y9104	DE-00
Y9105	DE-Kow1
Y9106	DE-Bri2
Z9003	DE-Dm11
Z9005	DE-Kn133
Z9006	DE-72
Z9007	DE-131
Z9009	DE-136
Z9010	DE-142
Z9011	DE-157
Z9013	DE-174
Z9014	DE-217
Z9017	DE-231
Z9020	DE-242
Z9021	DE-243
Z9022	DE-260
Z9024	DE-364
Z9026	DE-369
Z9027	DE-405
Z9028	DE-447
Z9029	DE-52
Z9030	DE-60
Z9031	DE-62
Z9032	DE-64
Z9034	DE-Kow2
Z9047	DE-Rag1
Z9050	DE-927
Z9051	DE-Kn192
Z9052	DE-Bi12
Z9054	DE-918
