219	0	suppressed
334	0	suppressed
410	0	suppressed
414	0	suppressed
506	0	suppressed
622	0	suppressed
703	0	suppressed
219	1	suppressed
622	1	suppressed
622	10	suppressed
622	11	suppressed
622	12	suppressed
622	13	suppressed
622	14	suppressed
622	15	suppressed
622	16	suppressed
622	17	suppressed
622	18	suppressed
622	19	suppressed
219	2	suppressed
622	2	suppressed
622	20	suppressed
622	21	suppressed
622	22	suppressed
622	24	suppressed
622	25	suppressed
622	26	suppressed
622	27	suppressed
622	3	suppressed
622	4	suppressed
622	5	suppressed
622	6	suppressed
622	7	suppressed
622	8	suppressed
622	9	suppressed
622	Media	suppressed
