	DBB	suppressed
	DES	suppressed
D0001	DHS	suppressed
D0001	DMF	suppressed
D0001	DNP	suppressed
	DPA	suppressed
D0001	DPR	suppressed
D0001	DVW	suppressed
	EBB	suppressed
	EES	suppressed
E0001	EHS	suppressed
E0001	EMF	suppressed
E0001	ENP	suppressed
	EPA	suppressed
E0001	EPR	suppressed
E0001	EPT	suppressed
E0001	EVW	suppressed
RES_SHARE	FL_LS_KV	suppressed
RES_SHARE	FL_LS_SF	suppressed
	MHA	suppressed
E0023	MHS	suppressed
E0023	MMF	suppressed
E0023	MNP	suppressed
E0023	MPR	suppressed
RES_SHARE	OUT_RS_LS	suppressed
RES_SHARE	OUT_RS_REQ	suppressed
